Date,State,Death,Type
2011-08-25,Adamawa,16,Boko Haram
2011-12-23,Adamawa,0,Boko Haram
2012-01-06,Adamawa,16,Boko Haram
2012-01-06,Adamawa,20,Boko Haram
2012-01-07,Adamawa,4,Boko Haram
2012-01-13,Adamawa,2,Boko Haram
2012-02-26,Adamawa,3,Boko Haram
2012-02-28,Adamawa,2,Boko Haram
2012-03-09,Adamawa,1,Boko Haram
2012-03-12,Adamawa,6,Boko Haram
2012-07-30,Adamawa,8,Boko Haram
2012-10-01,Adamawa,46,Boko Haram
2012-12-28,Adamawa,30,Boko Haram
2012-12-28,Adamawa,0,Boko Haram
2013-03-22,Adamawa,28,Boko Haram
2013-04-06,Adamawa,15,Boko Haram
2013-04-25,Adamawa,1,Boko Haram
2013-05-05,Adamawa,10,Boko Haram
2013-09-11,Adamawa,2,Boko Haram
2013-11-21,Adamawa,3,Boko Haram
2013-11-22,Adamawa,6,Boko Haram
2013-11-23,Adamawa,7,Boko Haram
2013-12-18,Adamawa,22,Boko Haram
2014-01-26,Adamawa,45,Boko Haram
2014-01-31,Adamawa,11,Boko Haram
2014-02-12,Adamawa,9,Boko Haram
2014-02-15,Adamawa,65,Boko Haram
2014-02-18,Adamawa,11,Boko Haram
2014-02-26,Adamawa,4,Boko Haram
2014-02-26,Adamawa,8,Boko Haram
2014-02-26,Adamawa,25,Boko Haram
2014-05-16,Adamawa,70,Boko Haram
2014-05-24,Adamawa,0,Boko Haram
2014-06-01,Adamawa,60,Boko Haram
2014-06-05,Adamawa,5,Boko Haram
2014-06-20,Adamawa,10,Boko Haram
2014-07-27,Adamawa,6,Boko Haram
2014-07-27,Adamawa,6,Boko Haram
2014-07-27,Adamawa,40,Boko Haram
2014-08-23,Adamawa,0,Boko Haram
2014-08-28,Adamawa,0,Boko Haram
2014-09-06,Adamawa,40,Boko Haram
2014-09-07,Adamawa,30,Boko Haram
2014-09-08,Adamawa,24,Boko Haram
2014-09-09,Adamawa,100,Boko Haram
2014-09-13,Adamawa,1,Boko Haram
2014-09-29,Adamawa,40,Boko Haram
2014-10-05,Adamawa,200,Boko Haram
2014-10-06,Adamawa,270,Boko Haram
2014-10-22,Adamawa,0,Boko Haram
2014-10-23,Adamawa,0,Boko Haram
2014-10-29,Adamawa,24,Boko Haram
2014-11-03,Adamawa,2,Boko Haram
2014-11-06,Adamawa,1,Boko Haram
2014-11-10,Adamawa,0,Boko Haram
2014-11-11,Adamawa,80,Boko Haram
2014-11-13,Adamawa,20,Boko Haram
2014-11-13,Adamawa,0,Boko Haram
2014-11-13,Adamawa,0,Boko Haram
2014-11-16,Adamawa,24,Boko Haram
2014-11-18,Adamawa,410,Boko Haram
2014-11-27,Adamawa,40,Boko Haram
2014-12-08,Adamawa,7,Boko Haram
2014-12-21,Adamawa,10,Boko Haram
2015-01-04,Adamawa,1,Boko Haram
2015-01-18,Adamawa,6,Boko Haram
2015-01-18,Adamawa,3,Boko Haram
2015-01-24,Adamawa,7,Boko Haram
2015-01-29,Adamawa,0,Boko Haram
2015-02-19,Adamawa,30,Boko Haram
2015-02-20,Adamawa,10,Boko Haram
2015-02-27,Adamawa,13,Boko Haram
2015-03-09,Adamawa,10,Boko Haram
2015-05-14,Adamawa,7,Boko Haram
2015-05-16,Adamawa,11,Boko Haram
2015-05-19,Adamawa,10,Boko Haram
2015-05-22,Adamawa,10,Boko Haram
2015-06-04,Adamawa,45,Boko Haram
2015-08-02,Adamawa,8,Boko Haram
2015-08-16,Adamawa,100,Boko Haram
2015-09-11,Adamawa,10,Boko Haram
2015-09-11,Adamawa,5,Boko Haram
2015-09-26,Adamawa,0,Boko Haram
2015-10-01,Adamawa,11,Boko Haram
2015-10-17,Adamawa,14,Boko Haram
2015-10-18,Adamawa,30,Boko Haram
2015-10-20,Adamawa,150,Boko Haram
2015-10-23,Adamawa,50,Boko Haram
2015-11-17,Adamawa,34,Boko Haram
2015-11-29,Adamawa,21,Boko Haram
2015-12-28,Adamawa,30,Boko Haram
2016-01-10,Adamawa,7,Boko Haram
2016-01-29,Adamawa,18,Boko Haram
2016-02-15,Adamawa,6,Boko Haram
2016-03-23,Adamawa,0,Boko Haram
2016-06-16,Adamawa,24,Boko Haram
2016-10-15,Adamawa,1,Boko Haram
2016-10-22,Adamawa,7,Boko Haram
2016-12-09,Adamawa,58,Boko Haram
2017-01-03,Adamawa,0,Boko Haram
2017-01-04,Adamawa,3,Boko Haram
2017-01-13,Adamawa,11,Boko Haram
2017-06-10,Adamawa,0,Boko Haram
2017-08-01,Adamawa,8,Boko Haram
2017-08-10,Adamawa,40,Boko Haram
2017-08-14,Adamawa,20,Boko Haram
2017-08-15,Adamawa,2,Boko Haram
2017-10-28,Adamawa,2,Boko Haram
2017-11-05,Adamawa,4,Boko Haram
2017-11-06,Adamawa,45,Boko Haram
2017-11-15,Adamawa,0,Boko Haram
2017-11-21,Adamawa,60,Boko Haram
2017-11-23,Adamawa,7,Boko Haram
2017-11-29,Adamawa,5,Boko Haram
2017-12-25,Adamawa,4,Boko Haram
2018-01-01,Adamawa,3,Boko Haram
2018-01-16,Adamawa,5,Boko Haram
2018-01-18,Adamawa,5,Boko Haram
2018-03-01,Adamawa,1,Boko Haram
2018-04-06,Adamawa,6,Boko Haram
2018-05-01,Adamawa,86,Boko Haram
2018-05-16,Adamawa,6,Boko Haram
2018-06-11,Adamawa,1,Boko Haram
2018-07-10,Adamawa,5,Boko Haram
2018-11-26,Adamawa,1,Boko Haram
2019-02-04,Adamawa,6,Boko Haram
2019-02-09,Adamawa,5,Boko Haram
2019-02-12,Adamawa,13,Boko Haram
2019-03-10,Adamawa,2,Boko Haram
2019-03-18,Adamawa,25,Boko Haram
2019-03-25,Adamawa,0,Boko Haram
2019-03-30,Adamawa,40,Boko Haram
2019-04-29,Adamawa,30,Boko Haram
2019-05-16,Adamawa,5,Boko Haram
2019-06-04,Adamawa,0,Boko Haram
2019-11-14,Adamawa,6,Boko Haram
2019-11-15,Adamawa,5,Boko Haram
2020-01-02,Adamawa,4,Boko Haram
2020-01-02,Adamawa,6,Boko Haram
2020-01-02,Adamawa,0,Boko Haram
2020-01-20,Adamawa,1,Boko Haram
2020-02-21,Adamawa,2,Boko Haram
2020-04-06,Adamawa,0,Boko Haram
2020-05-07,Adamawa,2,Boko Haram
2020-05-04,Adamawa,10,Boko Haram
2020-12-24,Adamawa,8,Boko Haram
2020-12-28,Adamawa,0,Boko Haram
2021-04-09,Adamawa,7,Boko Haram
2021-07-07,Adamawa,24,Boko Haram
2022-05-09,Adamawa,1,Boko Haram
2015-10-31,Akwa Ibom,2,Boko Haram
2012-04-04,Anambra,0,Boko Haram
2011-05-29,Bauchi,20,Boko Haram
2011-07-05,Bauchi,0,Boko Haram
2011-08-06,Bauchi,0,Boko Haram
2011-08-07,Bauchi,0,Boko Haram
2011-08-16,Bauchi,0,Boko Haram
2011-09-12,Bauchi,7,Boko Haram
2011-11-13,Bauchi,0,Boko Haram
2011-11-20,Bauchi,4,Boko Haram
2011-12-04,Bauchi,7,Boko Haram
2012-01-22,Bauchi,12,Boko Haram
2012-02-28,Bauchi,1,Boko Haram
2012-05-07,Bauchi,0,Boko Haram
2012-05-11,Bauchi,2,Boko Haram
2012-05-11,Bauchi,6,Boko Haram
2012-06-03,Bauchi,12,Boko Haram
2012-06-03,Bauchi,21,Boko Haram
2012-07-22,Bauchi,1,Boko Haram
2012-07-26,Bauchi,3,Boko Haram
2012-07-27,Bauchi,1,Boko Haram
2012-08-08,Bauchi,2,Boko Haram
2012-09-17,Bauchi,2,Boko Haram
