Date,state,Death,type,,,,,,,
8/25/2011,Adamawa,16,Boko Haram,,,,,,,
12/23/2011,Adamawa,0,Boko Haram,,,,,,,
1/6/2012,Adamawa,16,Boko Haram,,,,,,,
1/6/2012,Adamawa,20,Boko Haram,,,,,,,
1/7/2012,Adamawa,4,Boko Haram,,,,,,,
1/13/2012,Adamawa,2,Boko Haram,,,,,,,
2/26/2012,Adamawa,3,Boko Haram,,,,,,,
2/28/2012,Adamawa,2,Boko Haram,,,,,,,
3/9/2012,Adamawa,1,Boko Haram,,,,,,,
3/12/2012,Adamawa,6,Boko Haram,,,,,,,
7/30/2012,Adamawa,8,Boko Haram,,,,,,,
10/1/2012,Adamawa,46,Boko Haram,,,,,,,
12/28/2012,Adamawa,30,Boko Haram,,,,,,,
12/28/2012,Adamawa,0,Boko Haram,,,,,,,
3/22/2013,Adamawa,28,Boko Haram,,,,,,,
4/6/2013,Adamawa,15,Boko Haram,,,,,,,
4/25/2013,Adamawa,1,Boko Haram,,,,,,,
5/5/2013,Adamawa,10,Boko Haram,,,,,,,
9/11/2013,Adamawa,2,Boko Haram,,,,,,,
11/21/2013,Adamawa,3,Boko Haram,,,,,,,
11/22/2013,Adamawa,6,Boko Haram,,,,,,,
11/23/2013,Adamawa,7,Boko Haram,,,,,,,
12/18/2013,Adamawa,22,Boko Haram,,,,,,,
1/26/2014,Adamawa,45,Boko Haram,,,,,,,
1/31/2014,Adamawa,11,Boko Haram,,,,,,,
2/12/2014,Adamawa,9,Boko Haram,,,,,,,
2/15/2014,Adamawa,65,Boko Haram,,,,,,,
2/18/2014,Adamawa,11,Boko Haram,,,,,,,
2/26/2014,Adamawa,4,Boko Haram,,,,,,,
2/26/2014,Adamawa,8,Boko Haram,,,,,,,
2/26/2014,Adamawa,25,Boko Haram,,,,,,,
5/16/2014,Adamawa,70,Boko Haram,,,,,,,
5/24/2014,Adamawa,0,Boko Haram,,,,,,,
6/1/2014,Adamawa,60,Boko Haram,,,,,,,
6/5/2014,Adamawa,5,Boko Haram,,,,,,,
6/20/2014,Adamawa,10,Boko Haram,,,,,,,
7/27/2014,Adamawa,6,Boko Haram,,,,,,,
7/27/2014,Adamawa,6,Boko Haram,,,,,,,
7/27/2014,Adamawa,40,Boko Haram,,,,,,,
8/23/2014,Adamawa,0,Boko Haram,,,,,,,
8/28/2014,Adamawa,0,Boko Haram,,,,,,,
9/6/2014,Adamawa,40,Boko Haram,,,,,,,
9/7/2014,Adamawa,30,Boko Haram,,,,,,,
9/8/2014,Adamawa,24,Boko Haram,,,,,,,
9/9/2014,Adamawa,100,Boko Haram,,,,,,,
9/13/2014,Adamawa,1,Boko Haram,,,,,,,
9/29/2014,Adamawa,40,Boko Haram,,,,,,,
10/5/2014,Adamawa,200,Boko Haram,,,,,,,
10/6/2014,Adamawa,270,Boko Haram,,,,,,,
10/22/2014,Adamawa,0,Boko Haram,,,,,,,
10/23/2014,Adamawa,0,Boko Haram,,,,,,,
10/29/2014,Adamawa,24,Boko Haram,,,,,,,
11/3/2014,Adamawa,2,Boko Haram,,,,,,,
11/6/2014,Adamawa,1,Boko Haram,,,,,,,
11/10/2014,Adamawa,0,Boko Haram,,,,,,,
11/11/2014,Adamawa,80,Boko Haram,,,,,,,
11/13/2014,Adamawa,20,Boko Haram,,,,,,,
11/13/2014,Adamawa,0,Boko Haram,,,,,,,
11/13/2014,Adamawa,0,Boko Haram,,,,,,,
11/16/2014,Adamawa,24,Boko Haram,,,,,,,
11/18/2014,Adamawa,410,Boko Haram,,,,,,,
11/27/2014,Adamawa,40,Boko Haram,,,,,,,
12/8/2014,Adamawa,7,Boko Haram,,,,,,,
12/21/2014,Adamawa,10,Boko Haram,,,,,,,
